Total Training Time: 661.64 seconds
Epoch 1: Train Loss = 4.5463, Val Loss = 4.3649, Val Accuracy = 0.0508
Epoch 2: Train Loss = 2.8978, Val Loss = 3.3865, Val Accuracy = 0.2542
Epoch 3: Train Loss = 1.6882, Val Loss = 2.8037, Val Accuracy = 0.3785
Epoch 4: Train Loss = 1.0934, Val Loss = 2.4201, Val Accuracy = 0.4294
Epoch 5: Train Loss = 0.7513, Val Loss = 2.1079, Val Accuracy = 0.5085
Epoch 6: Train Loss = 0.5306, Val Loss = 1.9251, Val Accuracy = 0.5480
Epoch 7: Train Loss = 0.3914, Val Loss = 1.7119, Val Accuracy = 0.6328
Epoch 8: Train Loss = 0.2995, Val Loss = 1.5839, Val Accuracy = 0.6328
Epoch 9: Train Loss = 0.2314, Val Loss = 1.4364, Val Accuracy = 0.6836
Epoch 10: Train Loss = 0.1842, Val Loss = 1.3390, Val Accuracy = 0.6836
Epoch 11: Train Loss = 0.1474, Val Loss = 1.2953, Val Accuracy = 0.7288
Epoch 12: Train Loss = 0.1223, Val Loss = 1.2427, Val Accuracy = 0.7514
Epoch 13: Train Loss = 0.0996, Val Loss = 1.1396, Val Accuracy = 0.7684
Epoch 14: Train Loss = 0.0822, Val Loss = 1.1294, Val Accuracy = 0.7797
Epoch 15: Train Loss = 0.0710, Val Loss = 1.0928, Val Accuracy = 0.7910
Epoch 16: Train Loss = 0.0612, Val Loss = 1.0713, Val Accuracy = 0.7571
Epoch 17: Train Loss = 0.0524, Val Loss = 1.0297, Val Accuracy = 0.7797
Epoch 18: Train Loss = 0.0438, Val Loss = 1.0245, Val Accuracy = 0.7684
Epoch 19: Train Loss = 0.0415, Val Loss = 0.9746, Val Accuracy = 0.7627
Epoch 20: Train Loss = 0.0361, Val Loss = 0.9920, Val Accuracy = 0.7627
Epoch 21: Train Loss = 0.0305, Val Loss = 1.0099, Val Accuracy = 0.7853
Epoch 22: Train Loss = 0.0266, Val Loss = 0.9790, Val Accuracy = 0.7797
Epoch 23: Train Loss = 0.0238, Val Loss = 0.9772, Val Accuracy = 0.7627
Epoch 24: Train Loss = 0.0235, Val Loss = 1.0010, Val Accuracy = 0.7684
Epoch 25: Train Loss = 0.0183, Val Loss = 0.9406, Val Accuracy = 0.7853
Epoch 26: Train Loss = 0.0177, Val Loss = 0.9979, Val Accuracy = 0.7514
Epoch 27: Train Loss = 0.0199, Val Loss = 0.9065, Val Accuracy = 0.7797
Epoch 28: Train Loss = 0.0117, Val Loss = 0.9198, Val Accuracy = 0.7910
Epoch 29: Train Loss = 0.0149, Val Loss = 0.9766, Val Accuracy = 0.7458
Epoch 30: Train Loss = 0.0112, Val Loss = 0.8243, Val Accuracy = 0.8249
Epoch 31: Train Loss = 0.0167, Val Loss = 0.9723, Val Accuracy = 0.7684
Epoch 32: Train Loss = 0.0100, Val Loss = 0.9724, Val Accuracy = 0.7627
Epoch 33: Train Loss = 0.0102, Val Loss = 0.9245, Val Accuracy = 0.7627
Epoch 34: Train Loss = 0.0121, Val Loss = 1.0136, Val Accuracy = 0.7684
Epoch 35: Train Loss = 0.0113, Val Loss = 0.9520, Val Accuracy = 0.7458
Epoch 36: Train Loss = 0.0105, Val Loss = 0.9333, Val Accuracy = 0.7910
Epoch 37: Train Loss = 0.0080, Val Loss = 0.9096, Val Accuracy = 0.8136
Epoch 38: Train Loss = 0.0075, Val Loss = 0.9648, Val Accuracy = 0.7627
Epoch 39: Train Loss = 0.0072, Val Loss = 1.0365, Val Accuracy = 0.7458
Epoch 40: Train Loss = 0.0119, Val Loss = 0.9360, Val Accuracy = 0.7910
Epoch 41: Train Loss = 0.0098, Val Loss = 0.9249, Val Accuracy = 0.7910
Epoch 42: Train Loss = 0.0098, Val Loss = 0.9476, Val Accuracy = 0.7627
Epoch 43: Train Loss = 0.0056, Val Loss = 1.0301, Val Accuracy = 0.7232
Epoch 44: Train Loss = 0.0101, Val Loss = 0.9102, Val Accuracy = 0.7740
Epoch 45: Train Loss = 0.0051, Val Loss = 0.9106, Val Accuracy = 0.7797
Epoch 46: Train Loss = 0.0032, Val Loss = 1.0166, Val Accuracy = 0.7458
Epoch 47: Train Loss = 0.0140, Val Loss = 0.9306, Val Accuracy = 0.7797
Epoch 48: Train Loss = 0.0047, Val Loss = 0.9693, Val Accuracy = 0.7797
Epoch 49: Train Loss = 0.0054, Val Loss = 0.9245, Val Accuracy = 0.8079
Epoch 50: Train Loss = 0.0065, Val Loss = 0.9636, Val Accuracy = 0.7797
